t_index term df
1 a 959
2 aan 1
3 aaron 2
4 ab 1
5 aback 1
6 abahd 1
7 abandon 39
8 abat 1
9 abc 49
10 abcnew 3
11 abdallah 2
12 abdel 3
13 abdomin 2
14 abduct 2
15 abdul 16
16 abdullah 40
17 abdurahman 1
18 aberr 1
19 abhad 1
20 abhiyan 1
21 abhorr 2
22 abid 8
23 abidin 4
24 abidjan 36
25 abijan 1
26 abil 32
27 abl 105
28 ablaz 3
29 abnorm 1
30 aboard 93
31 abobo 3
32 abolish 4
33 abomin 1
34 abort 7
35 abou 1
36 abound 4
37 about 148
38 abov 43
39 abovo 1
40 abraham 10
41 abreast 1
42 abrego 1
43 abroad 52
44 abrog 2
45 abrupt 1
46 abruptli 4
47 abscam 1
48 absenc 6
49 absent 4
50 absente 7
51 absentia 3
52 absolut 43
53 absorb 10
54 abstain 1
55 abstent 1
56 absurd 2
57 abu 7
58 abund 2
59 abus 29
60 abuzaakouk 1
61 abyan 5
62 abyssinian 1
63 academ 6
64 academi 4
65 academia 1
66 acced 1
67 acceler 4
68 accent 2
69 accentu 2
70 accept 124
71 access 41
72 accid 32
73 accident 3
74 accommod 11
75 accompani 33
76 accomplic 5
77 accomplish 10
78 accord 145
79 accordingli 1
80 accordion 1
81 account 125
82 accredit 1
83 accumul 2
84 accur 14
85 accuraci 1
86 accus 131
87 accustom 2
88 ace 27
89 acerb 2
90 achiev 32
91 acid 2
92 acknowledg 55
93 acolyt 1
94 acosta 1
95 acquaint 1
96 acquiesc 1
97 acquir 5
98 acquisit 1
99 acquit 5
100 acquitt 3
101 acr 1
102 acrimoni 2
103 acrobat 5
104 acronym 1
105 across 120
106 act 135
107 action 95
108 activ 90
109 activist 19
110 actor 4
111 actress 2
112 actual 66
113 ad 119
114 adam 8
115 adapt 5
116 add 18
117 adden 1
118 addit 74
119 address 64
120 adem 1
121 aden 169
122 adequ 7
123 adher 4
124 adiksa 1
125 adjac 4
126 adjam 2
127 adjoin 3
128 adjourn 3
129 adjust 7
130 adlai 1
131 adm 44
132 admen 1
133 administ 9
134 administr 115
135 admir 38
136 admiralti 1
137 admiringli 1
138 admiss 2
139 admit 40
140 ado 2
141 adob 1
142 adolesc 2
143 adopt 17
144 adorn 1
145 adoubi 1
146 adra 1
147 adrain 1
148 adrenalin 1
149 adriat 1
150 adrift 4
151 adult 10
152 advanc 66
153 advani 1
154 advantag 21
155 adventist 1
156 adventur 2
